name,url,platform
Occupational Health and Safety,https://uct-online.getsmarter.com/presentations/lp/uct-occupational-health-and-safety-short-course/,
"Data Storytelling and Visualisation: Communicating with Numbers to Inform, Persuade and Decide",https://getsmarter.economist.com/presentations/lp/the-economist-data-storytelling-and-visualisation-online-course/,
Economist Education Critical Thinking: Problem-Solving and Decision-Making in a Complex World,https://www.getsmarter.com/presentations/lp/economist-education-critical-thinking-and-decision-making-online-course/,
"Influence and Persuasion in Business: Strategies To Connect, Convince and Lead",https://getsmarter.economist.com/presentations/lp/economist-education-influence-and-persuasion-in-business-online-course/,
Women's Leadership Program,https://online-shortcourses.som.yale.edu/presentations/lp/yale-som-execed-womens-leadership-online-program/,
Oxford Executive Leadership Programme,https://oxford-onlineprogrammes.getsmarter.com/presentations/lp/oxford-executive-leadership-programme/,
FinTech,https://harvardx-onlinecourses.getsmarter.com/presentations/lp/harvard-fintech-online-short-course/,
Oxford Private Markets Investments Programme,https://oxford-onlineprogrammes.getsmarter.com/presentations/lp/oxford-private-markets-investments-programme/,
Oxford Women's Leadership Development Programme,https://oxford-onlineprogrammes.getsmarter.com/presentations/lp/oxford-women-leadership-programme/,
Oxford Leading Sustainable Corporations Programme,https://oxford-onlineprogrammes.getsmarter.com/presentations/lp/oxford-leading-sustainable-corporations-programme-pr/,
Accelerated Management Program,https://online-shortcourses.som.yale.edu/presentations/lp/yale-som-execed-accelerated-management-program-online-pr/,
Strategic Management Executive Programme,https://oxford-onlineprogrammes.getsmarter.com/presentations/lp/oxford-strategic-management-executive-programme/,
Oxford Algorithmic Trading Programme,https://oxford-onlineprogrammes.getsmarter.com/presentations/lp/oxford-algorithmic-trading-programme/,
Social Media Marketing,https://uct-online.getsmarter.com/presentations/lp/uct-social-media-short-course/,
Payroll and Tax Administration,https://uct-online.getsmarter.com/presentations/lp/uct-payroll-and-tax-administration-short-course/,
Paralegal Practitioner,https://uct-online.getsmarter.com/presentations/lp/uct-paralegal-practitioner-short-course/,
Tax Law,https://uct-online.getsmarter.com/presentations/lp/uct-tax-law-online-short-course/,
Artificial Intelligence: Understanding and Applying AI in Business,https://getsmarter.economist.com/presentations/lp/economist-education-ai-online-course/,
Supply Chain Management,https://uct-online.getsmarter.com/presentations/lp/uct-supply-chain-management-short-course/,
Data Science with Python,https://uct-online.getsmarter.com/presentations/lp/uct-data-science-with-python-short-course/,
Data Analysis,https://uct-online.getsmarter.com/presentations/lp/uct-data-analysis-online-short-course/,
Human Resource (HR) Management,https://uct-online.getsmarter.com/presentations/lp/uct-human-resource-management-short-course/,
Fundamentals of Financial Management,https://uct-online.getsmarter.com/presentations/lp/uct-basics-of-financial-management-short-course/,
